Q_ID	Quote text	C_ID	Chapter 	country_region	tag:harm	tag:operational_impact	tag:response_strategy	tag:governance	Contribution id	url
20	Les populations moins connectées et sous-dotées en ressources – en particulier celles qui parlent des langues marginalisées – sont exclues de la production et du partage des savoirs.	73	CH6	Central African Republic	Societal				6.9	/fr/reports/wdr26/chapitre-06#renforcer-lintégrité-de-linformationnbsp-vers-une-approche-préventive-et-inclusive-de-la-désinformation
21	Pour faire face à ce risque, il ne suffit pas de simplement contrer la désinformation, car cette approche est par nature réactive. Il faut plutôt investir de manière proactive et préventive dans la promotion de l'intégrité de l'information : … 1. Combler le vide informationnel …(Ancrage dans l'éthique journalistique, …Assurer la proximité et l'inclusivité)… 2. Améliorer l'éducation à l'information et aux médias, à travers les médias et avec les communautés…	73	CH6	Central African Republic			Démystification préventive et résilience narrative		6.9	/fr/reports/wdr26/chapitre-06#renforcer-lintégrité-de-linformationnbsp-vers-une-approche-préventive-et-inclusive-de-la-désinformation
22	« De nos jours, avec l'essor des vidéos courtes, certains blogueurs utilisent l'IA pour créer des images composites… vous pouvez décrire une catastrophe à une IA, et elle générera des images – mais ces images ne correspondent pas à la réalité. Ce type d'informations exagérées et fausses est en réalité assez courant. »	69	CH6	China	Numérique/technologique; Informationnel			Gouvernance technologique et responsabilité des plateformes	X.3	/fr/reports/wdr26/chapitre-06#ce-que-disent-les-communautés-informations-issues-dune-recherche-originale
25	Des difficultés ont été rencontrées pour transporter des composants sanguins, des retards dans les soins d'urgence, des pneus crevés par des objets tranchants et des pierres lancées sur quatre ambulances clairement identifiées avec l'emblème de la Croix-Rouge, même en utilisant des sirènes et des feux clignotants pour atteindre des personnes blessées.	67	CH6	Ecuador	Physique	Sécurité et sûreté du personnel et des volontaires		Réglementation et cadres de politique publique	6.4	/fr/reports/wdr26/chapitre-06#la-désinformation-a-alimenté-les-attaques-contre-les-activités-humanitaires-lors-des-manifestations-de-2019-en-équateur
26	Ces actions s'inscrivent dans une stratégie visant à sensibiliser le public au rôle humanitaire de la Croix-Rouge équatorienne dans le contexte des mobilisations sociales. L'initiative est renforcée par l'utilisation d'un langage accessible – notamment le kichwa, langue prédominante dans les communautés autochtones – dans le but de renforcer la compréhension et l'acceptation des interventions de la Croix-Rouge.	67	CH6	Ecuador			Engagement communautaire et redevabilité		6.4	/fr/reports/wdr26/chapitre-06#la-désinformation-a-alimenté-les-attaques-contre-les-activités-humanitaires-lors-des-manifestations-de-2019-en-équateur
27	Les recommandations issues des communautés soulignent l'importance de l'interaction en face à face par rapport à l'engagement uniquement numérique, montrant une forte préférence pour le dialogue direct et centré sur l'humain.	64	CH6	Ecuador			Engagement communautaire et redevabilité		6.1	/fr/reports/wdr26/chapitre-06#coup-de-projecteur-sur-lengagement-des-communautés-et-la-redevabilité-dans-les-amériques
34	S'appuyer sur les autorités locales, les jeunes volontaires et les espaces communautaires de confiance a permis de lutter contre les rumeurs sur la vaccination. « Je ne suis pas un participant passif… J'ai suggéré à la Croix-Rouge d'organiser un cours de premiers secours dans mon village et ils l'ont fait. » (Un leader communautaire.)	70	CH6	Georgia			Engagement communautaire et redevabilité; Messagers de confiance et intermédiaires locaux		6.6	/fr/reports/wdr26/chapitre-06#la-communauté-dabordnbsp-enseignements-tirés-de-lengagement-des-communautés
35	Une communication menée par les communautés, culturellement pertinente, contredit la désinformation qui s'appuie sur les expériences vécues.	70	CH6	Guatemala			Engagement communautaire et redevabilité; Messagers de confiance et intermédiaires locaux		6.6	/fr/reports/wdr26/chapitre-06#la-communauté-dabordnbsp-enseignements-tirés-de-lengagement-des-communautés
36	La mémoire des épidémies passées renforce la résilience face aux informations préjudiciables lorsqu'elle est associée à une communication bidirectionnelle.	70	CH6	Guinea			Engagement communautaire et redevabilité; Démystification préventive et résilience narrative		6.6	/fr/reports/wdr26/chapitre-06#la-communauté-dabordnbsp-enseignements-tirés-de-lengagement-des-communautés
37	Alors que les informations préjudiciables se propagent par voie numérique, une communication de confiance en face à face reste un puissant outil correctif.	70	CH6	Indonesia			Démystification et communication corrective; Messagers de confiance et intermédiaires locaux		6.6	/fr/reports/wdr26/chapitre-06#la-communauté-dabordnbsp-enseignements-tirés-de-lengagement-des-communautés
38	Les crises cumulées amplifient les informations préjudiciables. Des messages opportuns, inclusifs et cohérents, diffusés par des pairs de confiance, sont essentiels pour rétablir la confiance.	70	CH6	Malawi			Messagers de confiance et intermédiaires locaux		6.6	/fr/reports/wdr26/chapitre-06#la-communauté-dabordnbsp-enseignements-tirés-de-lengagement-des-communautés
40	l'institutionnalisation de l'engagement des communautés et redevabilité (CEA), associée à son évaluation continue, a démontré son potentiel pour transformer à la fois la réponse humanitaire et la relation entre les communautés et les systèmes de santé.	64	CH6	Guatemala			Engagement communautaire et redevabilité		6.1	/fr/reports/wdr26/chapitre-06#coup-de-projecteur-sur-lengagement-des-communautés-et-la-redevabilité-dans-les-amériques
49	L'environnement linguistique et médiatique unique du Japon offre un tampon partiel contre la propagation mondiale des informations préjudiciables.	72	CH6	Japan	Informationnel				6.8	/fr/reports/wdr26/chapitre-06#société-de-la-croix-rouge-du-japonnbsp-renforcer-la-transparence-des-activités-et-des-dons-durant-les-catastrophes
51	« [Lors d'une épidémie de mpox, les membres de la communauté] nous percevaient comme une organisation qui devrait venir avec des cadeaux à leur donner… ils ne prenaient pas cette sensibilisation au sérieux. La communauté… estimait qu'il valait mieux que [nous] leur fournissions des articles [tangibles]… plutôt que de transmettre des informations. »	69	CH6	Kenya	Informationnel	Signaux de besoins et de demande faussés			X.3	/fr/reports/wdr26/chapitre-06#ce-que-disent-les-communautés-informations-issues-dune-recherche-originale
52	Ces [chefs religieux] continuent d'expliquer l'importance de la vaccination d'un point de vue religieux, en utilisant des messages qui combinent des informations sanitaires fondées sur des données probantes avec des interprétations religieuses.	66	CH6	Kyrgyzstan			Messagers de confiance et intermédiaires locaux			
53	…même lorsque les volontaires ont réussi à encourager les gens à se faire vacciner dans les centres de santé locaux, certains professionnels de santé eux-mêmes ont déconseillé aux gens de recevoir le vaccin contre la COVID-19.	66	CH6	Kyrgyzstan	Informationnel	Signaux de besoins et de demande faussés	Messagers de confiance et intermédiaires locaux		6.3	/fr/reports/wdr26/chapitre-06#séance-de-questions-réponses-avec-la-société-du-croissant-rouge-du-kirghizistan
62	« Le paysage médiatique… a présenté une image simplifiée et souvent fausse : soit un soignant « héros » sans failles, soit un soignant « au bord du gouffre ». L'information, lorsqu'elle est exagérée ou minimisée, déforme la perception sociale de la profession… Ce manque de nuance a alimenté les stéréotypes et aggravé la difficulté des soignants à exprimer leurs émotions »	69	CH6	Madagascar	Psychologique; Social				6.3	/fr/reports/wdr26/chapitre-06#séance-de-questions-réponses-avec-la-société-du-croissant-rouge-du-kirghizistan
63	« Dans certaines parties de Madagascar, l'arrivée de deux hommes sans chapeau dans un village signifiait traditionnellement un décès, illustrant l'importance des codes culturels dans la communication. Comprendre et respecter ces pratiques peut améliorer l'efficacité des campagnes de sensibilisation. »	69	CH6	Madagascar		Efficacité des programmes et redevabilité	Engagement communautaire et redevabilité; Messagers de confiance et intermédiaires locaux		X.3	/fr/reports/wdr26/chapitre-06#ce-que-disent-les-communautés-informations-issues-dune-recherche-originale
64	« Ces acteurs utilisent des méthodes familières telles que les mégaphones et le dialogue direct pour favoriser la compréhension et inciter à l'action. Les alertes précoces formelles – notamment les alertes aux inondations ou à la sécheresse – sont diffusées par le biais d'émissions radio, de représentants du gouvernement local et d'ONG »	70	CH6	Malawi			Engagement communautaire et redevabilité; Partenariat et coordination		X.3	/fr/reports/wdr26/chapitre-06#ce-que-disent-les-communautés-informations-issues-dune-recherche-originale
75	Cela souligne également l'importance d'un investissement soutenu dans l'institutionnalisation de l'engagement des communautés et redevabilité (CEA), notamment en augmentant la couverture géographique, en recrutant du personnel technique dédié et en intégrant le CEA dans toutes les phases des programmes et des opérations.	64	CH6	Panama			Engagement communautaire et redevabilité		6.1	/fr/reports/wdr26/chapitre-06#coup-de-projecteur-sur-lengagement-des-communautés-et-la-redevabilité-dans-les-amériques
78	« Les fausses informations et les rumeurs… ont considérablement diminué notre rôle en tant qu'organisation. [Les membres de la communauté affectée] ont commencé à se rendre dans ces [autres] organisations pour demander où était l'aide qui était arrivée [selon les rumeurs], « Pourquoi n'avons-nous rien reçu ? »… les gens, à cette période, ne voyaient pas ni n'analysaient à quoi servait cette organisation. »	69	CH6	Qatar	Psychologique; Societal	Efficacité des programmes et redevabilité			X.3	/fr/reports/wdr26/chapitre-06#ce-que-disent-les-communautés-informations-issues-dune-recherche-originale
91	« La confiance seule ne suffit pas sans un système approprié pour une communication rapide et vérifiée ; même les organisations de confiance risquent de faire défaut à leurs communautés lors de catastrophes. »	69	CH6	Sri Lanka		Efficacité des programmes et redevabilité			X.3	/fr/reports/wdr26/chapitre-06#ce-que-disent-les-communautés-informations-issues-dune-recherche-originale
110	Un défi persistant a été l'interprétation erronée des emblèmes, en particulier l'emblème de la Croix-Rouge. Dans certaines communautés, la présence de cet emblème sur des articles d'aide et des bannières aux côtés du logo du Croissant-Rouge du Yémen est interprétée à tort comme un signe d'affiliation religieuse parmi les partenaires.	65	CH6	Yemen	Informationnel; Societal	Contraintes d'accès et risques d'acceptation		Principes humanitaires et neutralité	6.2	/fr/reports/wdr26/chapitre-06#réponse-du-croissant-rouge-du-yémen-aux-informations-préjudiciables-renforcer-la-confiance-des-communautés
111	Au cœur de ce succès réside le principe de transparence radicale.	65	CH6	Yemen		Contraintes d'accès et risques d'acceptation	Démystification préventive et résilience narrative		6.2	/fr/reports/wdr26/chapitre-06#réponse-du-croissant-rouge-du-yémen-aux-informations-préjudiciables-renforcer-la-confiance-des-communautés
112	« La confiance au sein des communautés est une forme de confiance résiliente… fondée sur des valeurs culturelles, des normes et une compréhension partagées. Parallèlement, les fausses informations sont particulièrement efficaces lorsqu'elles émanent du cercle de personnes en qui vous avez confiance… les liens mêmes qui unissent les communautés peuvent les rendre susceptibles à la mésinformation. »	69	CH6	Zambia	Social				X.3	/fr/reports/wdr26/chapitre-06#ce-que-disent-les-communautés-informations-issues-dune-recherche-originale
10	Lors du processus de distribution de l'aide en espèces et en bons, un centre d'appels a été mis en place. Cependant, certaines personnes contactées pour recevoir leurs codes craignaient que les appels fassent partie d'une arnaque téléphonique – phénomène relativement courant dans le pays.	85	CH7	Bolivia	Financier/économique/lié à la privation	Signaux de besoins et de demande faussés			7.9	/fr/reports/wdr26/chapitre-07#transformer-lhumanité-en-bolivie-enseignements-tirés-du-projet-lié-aux-inondations-financé-par-le-fonds-durgence-de-la-fédération-internationale-pour-lintervention-en-cas-de-catastrophe
42	Un investissement accru est nécessaire dans les stratégies de communication et de sensibilisation. Les communautés locales devraient être habilitées à agir pour lutter contre la mésinformation, renforçant ainsi leur rôle dans la protection et la cohésion sociale.	83	CH7	Honduras			Démystification préventive et résilience narrative; Démystification et communication corrective 		7.7	/fr/reports/wdr26/chapitre-07#séance-de-questions-réponses-avec-la-croix-rouge-du-honduras-des-liens-fragiles-entre-les-communautés-les-volontaires-et-les-autorités
43	[le Mouvement international de la Croix-Rouge et du Croissant-Rouge devrait] faciliter des espaces de réflexion interne et des formations sur la communication stratégique et opérationnelle… pour partager les meilleures pratiques en matière de gestion des informations préjudiciables et de diplomatie humanitaire.	83	CH7	Honduras			Partenariat et coordination		7.7	/fr/reports/wdr26/chapitre-07#séance-de-questions-réponses-avec-la-croix-rouge-du-honduras-des-liens-fragiles-entre-les-communautés-les-volontaires-et-les-autorités
44	la Croix-Rouge hondurienne a renforcé son approche de communication communautaire en lançant des campagnes ciblées via les médias sociaux et locaux. Ces initiatives visent à réaffirmer notre mandat humanitaire, les principes fondamentaux et la nature neutre, impartiale et indépendante de notre travail.	83	CH7	Honduras				Principes humanitaires et neutralité; Réglementation et cadres de politique publique	7.7	/fr/reports/wdr26/chapitre-07#séance-de-questions-réponses-avec-la-croix-rouge-du-honduras-des-liens-fragiles-entre-les-communautés-les-volontaires-et-les-autorités
48	Au-delà des améliorations opérationnelles et logistiques, nous avons également lancé une initiative de narration centrée sur les émotions et les expériences vécues des migrants arrivant à Lampedusa. Cela a contribué à changer le récit – en passant d'un récit centré uniquement sur les chiffres à un récit montrant les histoires humaines et la dignité.	77	CH7	Italy	Social		Démystification préventive et résilience narrative		7.1	/fr/reports/wdr26/chapitre-07#gérer-les-discours-préjudiciables-dans-un-centre-migratoire
73	Ces récits ont faussé la compréhension publique du principe de neutralité, et plus largement, des rôles des différentes composantes du Mouvement lors des crises humanitaires.	79	CH7	Palestine, Italy	Informationnel	Efficacité des programmes et redevabilité		Principes humanitaires et neutralité	7.3	/fr/reports/wdr26/chapitre-07#clarifier-le-principe-de-neutralité-contrer-les-discours-trompeurs-en-ligne
79	La Société nationale a dû trouver soigneusement le juste équilibre dans son rôle d'auxiliaire des pouvoirs publics dans le domaine humanitaire. Cette situation nous a appris à réfléchir davantage et à envisager les conséquences de chaque mot et de chaque acte sous différents angles.	82	CH7	Russia			Démystification préventive et résilience narrative	Réglementation et cadres de politique publique; Principes humanitaires et neutralité	7.6	/fr/reports/wdr26/chapitre-07#séance-de-questions-réponses-sur-laction-fondée-sur-des-principes-avec-la-croix-rouge-de-la-fédération-de-russie-comment-réagir-en-cas-de-grave-risque-pour-la-réputation
99	Avec le soutien de la Fédération internationale, la direction de la Société de la Croix-Rouge de l'Ouganda a engagé une série de réformes décisives. Des postes clés ont été restructurés et des déclarations officielles ont été publiées pour clarifier la situation et rassurer à la fois les partenaires et le public.	81	CH7	Uganda			Démystification et communication corrective; Partenariat et coordination		7.5	/fr/reports/wdr26/chapitre-07#rétablir-la-confiance-enseignements-tirés-dune-crise-institutionnelle-et-du-relèvement-qui-a-suivi-au-sein-de-la-croix-rouge-de-louganda
100	La crise a souligné comment les problèmes réputationnels liés à la direction peuvent rapidement éroder la confiance et comment le rétablissement exige de la transparence, une réforme structurelle et un engagement soutenu.	81	CH7	Uganda	Societal	Efficacité des programmes et redevabilité			7.5	/fr/reports/wdr26/chapitre-07#rétablir-la-confiance-enseignements-tirés-dune-crise-institutionnelle-et-du-relèvement-qui-a-suivi-au-sein-de-la-croix-rouge-de-louganda
102	C'est devenu la première – et tragiquement réussie – attaque contre la neutralité de l'aide humanitaire en Ukraine. « L'image a tout changé sur le terrain »	80	CH7	Ukraine	Societal			Principes humanitaires et neutralité	7.4	/fr/reports/wdr26/chapitre-07#la-vérité-est-la-première-victime-de-la-guerre
103	La guerre hybride dans l'espace numérique a contraint la Société nationale à développer de nouvelles compétences en communication. Des experts ont rejoint l'équipe, un système de surveillance a été mis en place pour suivre les discours dans les médias publics et sociaux, et une disponibilité 24h/24 est devenue la norme.	80	CH7	Ukraine	Numérique/technologique		Suivi des rumeurs et alerte précoce	Gouvernance technologique et responsabilité des plateformes	7.4	/fr/reports/wdr26/chapitre-07#la-vérité-est-la-première-victime-de-la-guerre
104	chaque attaque informationnelle contre l'aide humanitaire neutre a également créé l'opportunité de se manifester et de communiquer les valeurs humanitaires. « Notre plus grand succès, c'est quand les fake news ne sont plus partagées parce que les gens sont déjà informés et en savent davantage »	80	CH7	Ukraine			Démystification préventive et résilience narrative; Démystification et communication corrective 	Principes humanitaires et neutralité	7.4	/fr/reports/wdr26/chapitre-07#la-vérité-est-la-première-victime-de-la-guerre
6	Lutter contre la mésinformation doit être traité comme une priorité humanitaire. Cela requiert des systèmes de communication équitables, inclusifs et culturellement adaptés.	88	CH8	Australia		Efficacité des programmes et redevabilité		Principes humanitaires et neutralité	8.3	/fr/reports/wdr26/chapitre-08#limpératif-humanitaire-de-lutter-contre-la-désinformation-en-cas-de-catastrophe
24	des autorités locales telles que des chefs religieux et des policiers ont rejoint des groupes de discussion pour vérifier et co-diffuser des informations. Cela a considérablement renforcé la confiance des communautés.	94	CH8	Democratic Republic of the Congo			Messagers de confiance et intermédiaires locaux; Partenariat et coordination		8.9	/fr/reports/wdr26/chapitre-08#wikirumours-la-vérification-collaborative-des-informations-pour-la-sécurité-et-la-prospérité-des-communautés-partie1-sur-4
74	La société civile intensifie son action coordonnée. Par exemple, [avec] une campagne mondiale appelant à la reconstruction du réseau de télécommunications de Gaza et à la reconnaissance de l'accès à la communication comme un droit humain fondamental.	98	CH8	Palestine	Societal			Liberté d'expression et droit à l'information	8.13	/fr/reports/wdr26/chapitre-08#reconstruire-les-écosystèmes-dinformation-locaux-un-pilier-essentiel-du-relèvement-après-une-crise
87	Pour contrer plus efficacement les informations préjudiciables, les stratégies au niveau systémique doivent donner la priorité à l'engagement local, au renforcement de la confiance et à la collaboration intersectorielle.	95	CH8	South Sudan			Partenariat et coordination; Engagement communautaire et redevabilité		8.10	/fr/reports/wdr26/chapitre-08#wikirumours-la-vérification-collaborative-des-informations-pour-la-sécurité-et-la-prospérité-des-communautés-partie2-sur-4-lacunes-et-besoins-en-matière-de-soutien
88	Les membres de la communauté vérifiaient de plus en plus les informations avant d'agir. Par exemple, après avoir reçu un contre-message concernant une fausse attaque, les gens ont choisi de ne pas fuir, évitant ainsi un déplacement inutile.	100	CH8	South Sudan			L'information comme aide humanitaire; Démystification et communication corrective		8.15	/fr/reports/wdr26/chapitre-08#wikirumours-la-vérification-collaborative-des-informations-pour-la-sécurité-et-la-prospérité-des-communautés-partie3-sur-4--mesurer-limpact-et-les-préjudices
90	Bien que des outils opérationnels existent, il n'existe pas de politique organisationnelle dédiée aux informations préjudiciables incluant un modèle standard et des procédures opérationnelles pour l'ensemble des régions et des scénarios.	101	CH8	South Sudan			Partenariat et coordination	Réglementation et cadres de politique publique	8.16	/fr/reports/wdr26/chapitre-08#wikirumours-la-vérification-collaborative-des-informations-pour-la-sécurité-et-la-prospérité-des-communautés-partie4-sur-4--lacunes-en-matière-de-politiques-et-de-cadres
